[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1201241390.953000 1/25/2008, 3:09:50 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, Pr(Ru0.90Rh0.10)4P12
INFO, WEIGHT, 275.200
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Sample lot No.2
INFO, SEQUENCE FILE: Rh_doped.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1201250232.453,,1.000000e+003,1.292816e+002,2.697762e-003,1.662825e-007,3,9.824200e-001,6.163719e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.166107e-001,0.000000e+000,0,,0,
1201250446.515,,1.000000e+003,1.332950e+002,2.630618e-003,1.007573e-007,3,9.825519e-001,3.830176e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.005096e-001,0.000000e+000,0,,0,
1201250654.359,,1.000000e+003,1.373364e+002,2.560730e-003,2.678630e-007,3,9.827672e-001,1.046042e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.255951e-001,0.000000e+000,0,,0,
1201250859.406,,1.000000e+003,1.413082e+002,2.495008e-003,7.589743e-008,3,9.828366e-001,3.041971e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.074066e-001,0.000000e+000,0,,0,
1201251065.781,,1.000000e+003,1.452888e+002,2.433473e-003,3.327297e-007,3,9.827911e-001,1.367304e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.085052e-001,0.000000e+000,0,,0,
1201251270.437,,1.000000e+003,1.492780e+002,2.374785e-003,7.919015e-008,3,9.827914e-001,3.334625e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.366119e-001,0.000000e+000,0,,0,
1201251476.312,,1.000000e+003,1.532403e+002,2.318108e-003,2.655581e-007,3,9.830000e-001,1.145581e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.432037e-001,0.000000e+000,0,,0,
1201251678.125,,1.000000e+003,1.572435e+002,2.263707e-003,4.553835e-007,3,9.831233e-001,2.011672e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.150055e-001,0.000000e+000,0,,0,
1201251879.656,,1.000000e+003,1.612236e+002,2.212531e-003,2.759301e-007,3,9.830534e-001,1.247124e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.622009e-001,0.000000e+000,0,,0,
1201252083.312,,1.000000e+003,1.651905e+002,2.163826e-003,3.203819e-007,3,9.829713e-001,1.480627e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.641998e-001,0.000000e+000,0,,0,
